6736.000,0.542
16203.000,0.612
29571.000,0.603
48311.000,0.521
67026.000,0.459
92964.000,0.483
125893.000,0.507
153647.000,0.486
182277.000,0.466
207678.000,0.469
232548.000,0.461
264280.000,0.425
303504.000,0.391
351777.000,0.367
406965.000,0.348
465085.000,0.330
530069.000,0.316
605180.000,0.301
690693.000,0.284
774589.000,0.269
860953.000,0.261
950186.000,0.260
1031678.000,0.261
1121269.000,0.254
1205969.000,0.249
1281319.000,0.252
1351633.000,0.258
1426183.000,0.263
1487755.000,0.261
1556452.000,0.253
1625569.000,0.246
1699355.000,0.241
1783862.000,0.236
1860287.000,0.231
1921917.000,0.228
1997271.000,0.232
2073209.000,0.234
2143907.000,0.237
2216816.000,0.236
2297821.000,0.234
2382193.000,0.233
2449889.000,0.235
2525911.000,0.236
2596027.000,0.236
2661337.000,0.235
2737865.000,0.234
2807302.000,0.230
2875847.000,0.225
2949665.000,0.223
3003285.000,0.225
3078510.000,0.229
3158303.000,0.231
3230028.000,0.229
3297283.000,0.227
3373950.000,0.228
3438085.000,0.230
3504021.000,0.229
3567112.000,0.227
3637238.000,0.225
3711530.000,0.223
3791675.000,0.221
3861343.000,0.221
3929329.000,0.221
3990855.000,0.223
